# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
906.00000000,DELIVERY1,DELIVERY5,0.68775021
3455.00000000,DELIVERY20,DELIVERY23,0.00000000
3456.00000000,DELIVERY20,DELIVERY23,0.00000000
3457.00000000,DELIVERY20,DELIVERY23,0.00000000
3458.00000000,DELIVERY20,DELIVERY23,0.00000000
3459.00000000,DELIVERY20,DELIVERY23,0.00000000
3460.00000000,DELIVERY20,DELIVERY23,0.00000000
3461.00000000,DELIVERY20,DELIVERY23,0.00000000
3462.00000000,DELIVERY20,DELIVERY23,0.00000000
3463.00000000,DELIVERY20,DELIVERY23,0.00000000
3464.00000000,DELIVERY20,DELIVERY23,0.00000000
3465.00000000,DELIVERY20,DELIVERY23,0.00000000
3466.00000000,DELIVERY20,DELIVERY23,0.00000000
3467.00000000,DELIVERY20,DELIVERY23,0.00000000
3468.00000000,DELIVERY20,DELIVERY23,0.00000000
3469.00000000,DELIVERY20,DELIVERY23,0.00000000
3470.00000000,DELIVERY20,DELIVERY23,0.00000000
3471.00000000,DELIVERY20,DELIVERY23,0.00000000
3472.00000000,DELIVERY20,DELIVERY23,0.00000000
3473.00000000,DELIVERY20,DELIVERY23,0.00000000
3474.00000000,DELIVERY20,DELIVERY23,0.00000000
3475.00000000,DELIVERY20,DELIVERY23,0.00000000
3476.00000000,DELIVERY20,DELIVERY23,0.00000000
3477.00000000,DELIVERY20,DELIVERY23,0.00000000
3478.00000000,DELIVERY20,DELIVERY23,0.00000000
3479.00000000,DELIVERY20,DELIVERY23,0.00000000
3480.00000000,DELIVERY20,DELIVERY23,0.00000000
3481.00000000,DELIVERY20,DELIVERY23,0.00000000
3482.00000000,DELIVERY20,DELIVERY23,0.00000000
3483.00000000,DELIVERY20,DELIVERY23,0.00000000
3484.00000000,DELIVERY20,DELIVERY23,0.00000000
3485.00000000,DELIVERY20,DELIVERY23,0.00000000
3486.00000000,DELIVERY20,DELIVERY23,0.00000000
3487.00000000,DELIVERY20,DELIVERY23,0.00000000
3488.00000000,DELIVERY20,DELIVERY23,0.00000000
3489.00000000,DELIVERY20,DELIVERY23,0.00000000
3490.00000000,DELIVERY20,DELIVERY23,0.00000000
3491.00000000,DELIVERY20,DELIVERY23,0.00000000
3492.00000000,DELIVERY20,DELIVERY23,0.00000000
3493.00000000,DELIVERY20,DELIVERY23,0.00000000
3494.00000000,DELIVERY20,DELIVERY23,0.00000000
3495.00000000,DELIVERY20,DELIVERY23,0.00000000
3496.00000000,DELIVERY20,DELIVERY23,0.00000000
3497.00000000,DELIVERY20,DELIVERY23,0.00000000
3498.00000000,DELIVERY20,DELIVERY23,0.00000000
3499.00000000,DELIVERY20,DELIVERY23,0.00000000
3500.00000000,DELIVERY20,DELIVERY23,0.00000000
3501.00000000,DELIVERY20,DELIVERY23,0.00000000
3502.00000000,DELIVERY20,DELIVERY23,0.00000000
3503.00000000,DELIVERY20,DELIVERY23,0.00000000
3504.00000000,DELIVERY20,DELIVERY23,0.00000000
3505.00000000,DELIVERY20,DELIVERY23,0.00000000
3506.00000000,DELIVERY20,DELIVERY23,0.00000000
3507.00000000,DELIVERY20,DELIVERY23,0.00000000
3508.00000000,DELIVERY20,DELIVERY23,0.00000000
3509.00000000,DELIVERY20,DELIVERY23,0.00000000
3510.00000000,DELIVERY20,DELIVERY23,0.00000000
3511.00000000,DELIVERY20,DELIVERY23,0.00000000
3512.00000000,DELIVERY20,DELIVERY23,0.00000000
3513.00000000,DELIVERY20,DELIVERY23,0.00000000
3514.00000000,DELIVERY20,DELIVERY23,0.00000000
3515.00000000,DELIVERY20,DELIVERY23,0.00000000
3516.00000000,DELIVERY20,DELIVERY23,0.00000000
3517.00000000,DELIVERY20,DELIVERY23,0.00000000
3518.00000000,DELIVERY20,DELIVERY23,0.00000000
3519.00000000,DELIVERY20,DELIVERY23,0.00000000
3520.00000000,DELIVERY20,DELIVERY23,0.00000000
3521.00000000,DELIVERY20,DELIVERY23,0.00000000
3522.00000000,DELIVERY20,DELIVERY23,0.00000000
3523.00000000,DELIVERY20,DELIVERY23,0.00000000
3524.00000000,DELIVERY20,DELIVERY23,0.00000000
3525.00000000,DELIVERY20,DELIVERY23,0.00000000
3526.00000000,DELIVERY20,DELIVERY23,0.00000000
3527.00000000,DELIVERY20,DELIVERY23,0.00000000
3528.00000000,DELIVERY20,DELIVERY23,0.00000000
3529.00000000,DELIVERY20,DELIVERY23,0.00000000
3535.00000000,DELIVERY20,DELIVERY23,0.00000000
3536.00000000,DELIVERY20,DELIVERY23,0.00000000
3537.00000000,DELIVERY20,DELIVERY23,0.00000000
3538.00000000,DELIVERY20,DELIVERY23,0.00000000
3539.00000000,DELIVERY20,DELIVERY23,0.00000000
3540.00000000,DELIVERY20,DELIVERY23,0.00000000
3541.00000000,DELIVERY20,DELIVERY23,0.00000000
3542.00000000,DELIVERY20,DELIVERY23,0.00000000
3543.00000000,DELIVERY20,DELIVERY23,0.00000000
3544.00000000,DELIVERY20,DELIVERY23,0.00000000
3545.00000000,DELIVERY20,DELIVERY23,0.00000000
3546.00000000,DELIVERY20,DELIVERY23,0.00000000
3547.00000000,DELIVERY20,DELIVERY23,0.00000000
3548.00000000,DELIVERY20,DELIVERY23,0.00000000
3549.00000000,DELIVERY20,DELIVERY23,0.00000000
3550.00000000,DELIVERY20,DELIVERY23,0.00000000
3551.00000000,DELIVERY20,DELIVERY23,0.00000000
3552.00000000,DELIVERY20,DELIVERY23,0.00000000
3553.00000000,DELIVERY20,DELIVERY23,0.00000000
3554.00000000,DELIVERY20,DELIVERY23,0.00000000
3555.00000000,DELIVERY20,DELIVERY23,0.00000000
3556.00000000,DELIVERY20,DELIVERY23,0.00000000
3557.00000000,DELIVERY20,DELIVERY23,0.00000000
3558.00000000,DELIVERY20,DELIVERY23,0.00000000
3559.00000000,DELIVERY20,DELIVERY23,0.00000000
3560.00000000,DELIVERY20,DELIVERY23,0.00000000
3561.00000000,DELIVERY20,DELIVERY23,0.00000000
3562.00000000,DELIVERY20,DELIVERY23,0.00000000
3563.00000000,DELIVERY20,DELIVERY23,0.00000000
3564.00000000,DELIVERY20,DELIVERY23,0.00000000
3565.00000000,DELIVERY20,DELIVERY23,0.00000000
3566.00000000,DELIVERY20,DELIVERY23,0.00000000
3567.00000000,DELIVERY20,DELIVERY23,0.00000000
3568.00000000,DELIVERY20,DELIVERY23,0.00000000
3569.00000000,DELIVERY20,DELIVERY23,0.00000000
3570.00000000,DELIVERY20,DELIVERY23,0.00000000
3571.00000000,DELIVERY20,DELIVERY23,0.00000000
3572.00000000,DELIVERY20,DELIVERY23,0.00000000
3573.00000000,DELIVERY20,DELIVERY23,0.00000000
3574.00000000,DELIVERY20,DELIVERY23,0.00000000
3575.00000000,DELIVERY20,DELIVERY23,0.00000000
3576.00000000,DELIVERY20,DELIVERY23,0.00000000
3577.00000000,DELIVERY20,DELIVERY23,0.00000000
3578.00000000,DELIVERY20,DELIVERY23,0.00000000
3579.00000000,DELIVERY20,DELIVERY23,0.00000000
3580.00000000,DELIVERY20,DELIVERY23,0.00000000
3581.00000000,DELIVERY20,DELIVERY23,0.00000000
3582.00000000,DELIVERY20,DELIVERY23,0.00000000
3583.00000000,DELIVERY20,DELIVERY23,0.00000000
3584.00000000,DELIVERY20,DELIVERY23,0.00000000
3585.00000000,DELIVERY20,DELIVERY23,0.00000000
3586.00000000,DELIVERY20,DELIVERY23,0.00000000
3587.00000000,DELIVERY20,DELIVERY23,0.00000000
3588.00000000,DELIVERY20,DELIVERY23,0.00000000
3589.00000000,DELIVERY20,DELIVERY23,0.00000000
3590.00000000,DELIVERY20,DELIVERY23,0.00000000
3591.00000000,DELIVERY20,DELIVERY23,0.34283907
3593.00000000,DELIVERY20,DELIVERY23,4.08704442
3594.00000000,DELIVERY20,DELIVERY23,4.17852262
3601.00000000,DELIVERY27,DELIVERY28,0.00000000
